ply,player,role,fen_before,move,fallback
80,Stockfish-Weak,white,1n4nr/rb1k1p2/2p2b2/p1P4p/P1qP2pP/4RNNQ/6P1/KR6 w - - 6 41,h3g4,True
95,Stockfish-Strong,black,r7/8/1p2k1nN/p1pp3P/P5pb/1P1P2B1/3QK3/1R1R3B b - - 0 48,a8b8,True
145,Stockfish-Strong,black,8/k7/2R5/p7/Pp1p1NB1/8/7P/R4K1Q b - - 3 73,b4b3,True
89,Stockfish-Mid,black,2RN4/b7/k1r1bp2/4pP1p/P1ppPP1Q/1P1P3B/3K3P/5N2 b - - 2 45,c6c7,True
46,Stockfish-GM,white,rnb5/p2pk1pr/2pb2n1/4p1P1/B2qPp2/RP3P1p/1BPP3P/3QK1NR w - - 0 24,d1b1,True
6,Stockfish-Strong,white,r1bqkb1r/p1pppppp/n6n/1p6/8/1P3P1P/P1PPP1P1/RNBQKBNR w KQkq - 0 4,a2a4,True
69,Stockfish-Strong,black,1n4r1/rpp2pk1/8/4N2p/B2PP1p1/B3nPPP/P2KN3/1R3R2 b - - 3 35,g8f8,True
7,stupid2,black,r1bqkb1r/p1pppppp/n6n/1p6/P7/1P3P1P/2PPP1P1/RNBQKBNR b KQkq - 0 4,h6f5,False
44,Stockfish-Weak,white,r3kbr1/4p1pp/n1pp1p1n/p7/B2P1P2/PP1KP3/2P1Q1bP/1RBN3R w - - 4 23,c2c4,True
80,Stockfish-Weak,white,rn2k3/1p1r2b1/PP1p1Bpp/1N1P2p1/R3Pp2/1Q4N1/5nK1/4RB2 w - - 7 41,f6g7,True
148,Stockfish-GM,white,B7/8/2K1Pkr1/7r/pR1R1P2/p7/P7/8 w - - 5 75,b4b6,True
186,Stockfish-Strong,white,7k/6N1/3P4/3N4/2B1Q3/4K1R1/8/8 w - - 3 94,g7e6,True
0,Stockfish-GM,white,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,g1f3,True
146,Stockfish-Mid,white,B4r2/4k3/p2np3/P1P1P3/1B5p/4K2p/3P4/5R2 w - - 1 74,f1a1,True
147,Stockfish-Strong,black,5k2/3P3p/1n5P/2r1P2B/8/8/8/2b3K1 b - - 2 74,c1d2,True
172,Stockfish-Weak,white,5N2/8/R7/P1P1kp2/1P5K/8/5R2/2N2r2 w - - 3 87,c1d3,True
148,stupid1,white,5k2/3P3p/1n5P/2r1P2B/8/8/3b4/6K1 w - - 3 75,g1f1,False
61,Stockfish-GM,black,r4b1r/4kp2/1p5p/1ppP1Pp1/1n1P4/P1N5/RKb1NP1P/3B3R b - - 3 31,e7d6,True
177,Stockfish-GM,black,8/3N3k/8/1Npn3K/p1P3n1/8/3q4/b7 b - - 24 89,d2a5,True
71,Stockfish-Strong,black,2b3k1/3p1pr1/3q1b1p/p1p1p3/1n2P1nP/2P1R1PN/PPN1Br2/2R1B1K1 b - - 1 36,c5c4,True
81,Stockfish-GM,black,1n4nr/rb1k1p2/2p2b2/p1P4p/P1qP2QP/4RNN1/6P1/KR6 b - - 0 41,h5g4,True
57,Stockfish-Strong,black,r1b1k3/p1Pp2p1/1p1Qpr2/4np1p/3P1PPq/2n4P/PBN1P3/R1K1NBR1 b - - 3 29,f6h6,True
146,Stockfish-Strong,white,8/k7/2R5/p7/P2p1NB1/1p6/7P/R4K1Q w - - 0 74,a1a2,True
45,Stockfish-Strong,black,r3kbr1/4p1pp/n1pp1p1n/p7/B1PP1P2/PP1KP3/4Q1bP/1RBN3R b - - 0 23,g8h8,True
149,Stockfish-Weak,black,B7/8/1RK1Pkr1/7r/p2R1P2/p7/P7/8 b - - 6 75,h5h6,True
70,Stockfish-Mid,white,1n3r2/rpp2pk1/8/4N2p/B2PP1p1/B3nPPP/P2KN3/1R3R2 w - - 4 36,f1d1,True
8,Stockfish-Strong,white,r1bqkb1r/p1pppppp/n7/1p3n2/P7/1P3P1P/2PPP1P1/RNBQKBNR w KQkq - 1 5,b1a3,True
90,Stockfish-GM,white,2RN4/b1r5/k3bp2/4pP1p/P1ppPP1Q/1P1P3B/3K3P/5N2 w - - 3 46,d8b7,True
9,stupid2,black,r1bqkb1r/p1pppppp/n7/1p3n2/P7/NP3P1P/2PPP1P1/R1BQKBNR b KQkq - 2 5,b5a4,False
81,Stockfish-Strong,black,rn2k3/1p1r2B1/PP1p2pp/1N1P2p1/R3Pp2/1Q4N1/5nK1/4RB2 b - - 0 41,d7d8,True
1,Stockfish-Weak,black,rnbqkbnr/pppppppp/8/8/8/5N2/PPPPPPPP/RNBQKB1R b KQkq - 1 1,g7g5,True
147,Stockfish-Strong,black,B4r2/4k3/p2np3/P1P1P3/1B5p/4K2p/3P4/R7 b - - 2 74,e7f7,True
131,Stockfish-Strong,black,2r2bk1/1QP5/r2pPp2/3P2np/pp2p2P/4P1p1/6P1/1KR1NB1R b - - 0 66,f6f5,True
132,stupid1,white,2r2bk1/1QP5/r2pP3/3P1pnp/pp2p2P/4P1p1/6P1/1KR1NB1R w - - 0 67,h1h2,False
96,Stockfish-Weak,white,1r6/8/1p2k1nN/p1pp3P/P5pb/1P1P2B1/3QK3/1R1R3B w - - 1 49,d1e1,True
72,Stockfish-Mid,white,2b3k1/3p1pr1/3q1b1p/p3p3/1np1P1nP/2P1R1PN/PPN1Br2/2R1B1K1 w - - 0 37,e2c4,True
149,Stockfish-Strong,black,5k2/3P3p/1n5P/2r1P2B/8/8/3b4/5K2 b - - 4 75,d2c3,True
150,stupid1,white,5k2/3P3p/1n5P/2r1P2B/8/2b5/8/5K2 w - - 5 76,d7d8n,False
47,Stockfish-Strong,black,rnb5/p2pk1pr/2pb2n1/4p1P1/B2qPp2/RP3P1p/1BPP3P/1Q2K1NR b - - 1 24,d4b4,True
58,Stockfish-Strong,white,r1b1k3/p1Pp2p1/1p1Qp2r/4np1p/3P1PPq/2n4P/PBN1P3/R1K1NBR1 w - - 4 30,d6c6,True
82,Stockfish-Weak,white,1n4nr/rb1k1p2/2p2b2/p1P5/P1qP2pP/4RNN1/6P1/KR6 w - - 0 42,e3e4,True
178,Stockfish-Weak,white,8/3N3k/8/qNpn3K/p1P3n1/8/8/b7 w - - 25 90,c4d5,True
62,Stockfish-Weak,white,r4b1r/5p2/1p1k3p/1ppP1Pp1/1n1P4/P1N5/RKb1NP1P/3B3R w - - 4 32,c3e4,True
173,Stockfish-Strong,black,5N2/8/R7/P1P1kp2/1P5K/3N4/5R2/5r2 b - - 4 87,e5e4,True
147,Stockfish-Strong,black,8/k7/2R5/p7/P2p1NB1/1p6/R6P/5K1Q b - - 1 74,b3b2,True
